Temp	Dilation
669.66	0.05443
670.68	0.05449
671.68	0.05459
672.72	0.05471
673.65	0.05478
674.75	0.0549
675.66	0.055
676.6	0.0551
677.78	0.05519
678.57	0.05525
679.57	0.05537
680.76	0.05549
681.75	0.05555
682.75	0.05564
683.45	0.0557
684.63	0.05584
685.7	0.05593
686.7	0.05602
687.77	0.05609
688.67	0.05619
689.72	0.05626
690.65	0.05635
691.72	0.05648
692.74	0.05655
693.77	0.05665
694.71	0.05673
695.7	0.05681
696.72	0.05689
697.7	0.05698
698.69	0.05708
699.6	0.05716
699.6	0.05716
701	0.05725
701.85	0.05724
702.73	0.05726
703.68	0.05727
704.73	0.05732
705.72	0.05736
706.64	0.0574
707.68	0.05745
708.72	0.05752
709.66	0.05758
710.73	0.05765
711.7	0.05772
712.79	0.0578
714.1	0.05792
715.02	0.05798
715.91	0.05802
716.81	0.05808
717.72	0.05814
718.78	0.05821
719.69	0.05826
720.71	0.05834
721.65	0.05841
722.69	0.05848
723.69	0.05856
724.67	0.05862
725.65	0.0587
726.63	0.05877
727.68	0.05883
728.64	0.05889
729.74	0.05898
730.58	0.05902
731.77	0.0591
732.62	0.05915
733.75	0.05924
734.64	0.0593
735.69	0.05938
736.65	0.05944
737.68	0.05952
738.71	0.0596
739.63	0.05964
740.74	0.05971
741.7	0.05978
742.63	0.05984
743.71	0.05992
744.72	0.05999
745.74	0.06006
746.7	0.06012
747.75	0.06019
748.64	0.06025
749.73	0.06032
750.71	0.06038
751.68	0.06044
752.69	0.06049
753.65	0.06054
754.68	0.06061
755.68	0.06068
756.62	0.06073
757.69	0.0608
758.69	0.06086
759.64	0.06091
760.65	0.06098
761.62	0.06102
762.72	0.06109
763.67	0.06115
764.68	0.06119
765.69	0.06125
766.72	0.0613
767.71	0.06137
768.71	0.06143
769.64	0.06148
770.68	0.06154
771.7	0.06162
772.67	0.06166
773.69	0.06171
774.68	0.06177
775.6	0.06183
776.7	0.06191
777.73	0.06197
778.65	0.06202
779.74	0.0621
780.67	0.06215
781.69	0.0622
782.67	0.06225
783.7	0.06232
784.69	0.06239
785.68	0.06244
786.71	0.06251
787.64	0.06257
788.7	0.06263
789.64	0.06269
790.67	0.06274
791.71	0.06279
792.67	0.06284
793.67	0.06291
794.71	0.06297
795.7	0.06304
796.68	0.0631
797.68	0.06315
798.66	0.06321
799.7	0.06328
800.73	0.06334
801.67	0.06339
802.67	0.06345
803.69	0.06351
804.67	0.06356
805.68	0.06362
806.71	0.06369
807.6	0.06373
808.7	0.0638
809.64	0.06384
810.7	0.06391
811.59	0.06396
812.69	0.06402
813.71	0.06409
814.75	0.06415
815.67	0.0642
816.69	0.06426
817.67	0.06431
818.7	0.06438
819.68	0.06442
820.73	0.06449
821.71	0.06455
822.66	0.06459
823.64	0.06464
824.67	0.0647
825.66	0.06476
826.69	0.06482
827.67	0.06486
828.67	0.0649
829.72	0.06495
830.67	0.06499
831.68	0.06502
832.7	0.06505
833.65	0.06506
834.65	0.06508
835.66	0.0651
836.66	0.0651
837.64	0.06509
838.69	0.06508
839.69	0.06508
840.62	0.06507
841.69	0.06505
842.65	0.06504
843.69	0.06502
844.67	0.06499
845.66	0.06496
846.71	0.06492
847.67	0.06486
848.63	0.0648
849.69	0.06474
850.71	0.06467
851.63	0.06458
852.69	0.06448
853.64	0.06435
854.66	0.06424
855.66	0.06413
856.71	0.06401
857.67	0.06387
858.63	0.06373
859.69	0.06357
860.67	0.06341
861.68	0.06327
862.63	0.06309
863.73	0.06293
864.69	0.06275
865.7	0.06258
866.67	0.06239
867.72	0.0622
868.62	0.06199
869.69	0.0618
870.67	0.06159
871.64	0.06138
872.65	0.06117
873.67	0.06096
874.67	0.06074
875.66	0.06052
876.66	0.0603
877.7	0.06007
878.64	0.05982
879.62	0.0596
880.65	0.05935
881.68	0.05912
882.66	0.05887
883.67	0.05865
884.67	0.05839
885.61	0.05815
886.73	0.05792
887.69	0.05768
888.65	0.05743
889.64	0.05719
890.71	0.05695
891.64	0.05671
892.66	0.05647
893.69	0.05625
894.66	0.05602
895.69	0.05579
896.66	0.05556
897.68	0.05534
898.64	0.05509
899.71	0.05485
900.69	0.05461
901.68	0.0544
902.67	0.0542
903.69	0.054
904.65	0.0538
905.67	0.05361
906.65	0.05343
907.7	0.05325
908.69	0.05308
909.7	0.05293
910.7	0.05279
911.61	0.05261
912.75	0.05249
913.64	0.05233
914.7	0.05222
915.67	0.0521
916.65	0.05198
917.66	0.05186
918.67	0.05178
919.69	0.0517
920.68	0.05161
921.67	0.05153
